Value,lon,lat
4.48022794723511,296615.0067,3293207.832
4.31250381469727,296624.0664,3293198.622
4.25932502746582,296633.1262,3293189.413
4.2578911781311,296642.1859,3293180.204
4.25639677047729,296651.2457,3293170.995
4.23654413223267,296660.3054,3293161.786
4.21685791015625,296669.3652,3293152.577
4.26895904541016,296678.4249,3293143.368
4.40407609939575,296687.4847,3293134.159
4.51735687255859,296696.5444,3293124.950
4.49158716201782,296705.6042,3293115.741
4.34800910949707,296714.6639,3293106.532
4.23314523696899,296723.7236,3293097.323
4.18813705444336,296732.7834,3293088.113
4.18290519714355,296741.8431,3293078.904
4.23392915725708,296750.9029,3293069.695
4.34652519226074,296759.9626,3293060.486
4.39955282211304,296769.0224,3293051.277
4.30829381942749,296778.0821,3293042.068
3.82995009422302,296787.1419,3293032.859
2.70675992965698,296796.2016,3293023.650
2.11592698097229,296805.2614,3293014.441
0.77011102437973,296814.3211,3293005.232
0.112199999392033,296823.3808,3292996.023
-0.0772190019488335,296832.4406,3292986.814
-0.132502004504204,296841.5003,3292977.604
-0.151886001229286,296850.5601,3292968.395
-0.173198997974396,296859.6198,3292959.186
-0.178617000579834,296868.6796,3292949.977
-0.181648001074791,296877.7393,3292940.768
-0.186105996370316,296886.7991,3292931.559
-0.186959996819496,296895.8588,3292922.350
-0.186803996562958,296904.9186,3292913.141
-0.186629995703697,296913.9783,3292903.932
-0.186129003763199,296923.0380,3292894.723
-0.185756996273994,296932.0978,3292885.514
-0.185495004057884,296941.1575,3292876.305
-0.185396000742912,296950.2173,3292867.095
-0.185269996523857,296959.2770,3292857.886
-0.185240000486374,296968.3368,3292848.677
-0.185236006975174,296977.3965,3292839.468
-0.18520499765873,296986.4563,3292830.259
-0.185185998678207,296995.5160,3292821.050
-0.185181006789207,297004.5758,3292811.841
-0.185181006789207,297013.6355,3292802.632
-0.185181006789207,297022.6952,3292793.423
-0.185211002826691,297031.7550,3292784.214
-0.185260996222496,297040.8147,3292775.005
-0.185347005724907,297049.8745,3292765.796
-0.185732007026672,297058.9342,3292756.587
-0.186645999550819,297067.9940,3292747.377
-0.188071995973587,297077.0537,3292738.168
-0.189090996980667,297086.1135,3292728.959
-0.190767005085945,297095.1732,3292719.750
-0.191889002919197,297104.2330,3292710.541
-0.191508993506432,297113.2927,3292701.332
-0.184284001588821,297122.3524,3292692.123
-0.162654995918274,297131.4122,3292682.914
-0.120869003236294,297140.4719,3292673.705
0.131099998950958,297149.5317,3292664.496
1.1219619512558,297158.5914,3292655.287
2.50827193260193,297167.6512,3292646.078
3.58251810073853,297176.7109,3292636.868
4.1354079246521,297185.7707,3292627.659
4.22477722167969,297194.8304,3292618.450
4.39109992980957,297203.8902,3292609.241
4.45658683776855,297212.9499,3292600.032
4.42400407791138,297222.0096,3292590.823
4.40384721755981,297231.0694,3292581.614
4.44068098068237,297240.1291,3292572.405
4.46751403808594,297249.1889,3292563.196
4.50668001174927,297258.2486,3292553.987
4.66622877120972,297267.3084,3292544.778
4.82166290283203,297276.3681,3292535.569
4.9157772064209,297285.4279,3292526.359
4.96780395507812,297294.4876,3292517.150
5.12030410766602,297303.5474,3292507.941
